// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\David\Desktop\2022\2022-02-07 - StringWriter\vs\StringWriterBench\StringWriterBench\bin\Release\netcoreapp3.1\d3508ef7-a2f6-4436-8c61-c8915d40ac36
// command took 0.97s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true in C:\Users\David\Desktop\2022\2022-02-07 - StringWriter\vs\StringWriterBench\StringWriterBench\bin\Release\netcoreapp3.1\d3508ef7-a2f6-4436-8c61-c8915d40ac36
// command took 1.58s and exited with 0
// ***** Done, took 00:00:02 (2.62 sec)   *****
// Found 3 benchmarks:
//   Program.UseStringBuilder: DefaultJob
//   Program.UseStringWriter: DefaultJob
//   Program.UseMyStringWriter: DefaultJob

// **************************
// Benchmark: Program.UseStringBuilder: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "d3508ef7-a2f6-4436-8c61-c8915d40ac36.dll" --benchmarkName "StringWriterBench.Program.UseStringBuilder" --job "Default" --benchmarkId 0 in C:\Users\David\Desktop\2022\2022-02-07 - StringWriter\vs\StringWriterBench\StringWriterBench\bin\Release\netcoreapp3.1\d3508ef7-a2f6-4436-8c61-c8915d40ac36\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.22 (CoreCLR 4.700.21.56803, CoreFX 4.700.21.57101), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

WorkloadResult  10: 8 op, 595232500.00 ns, 74.4041 ms/op
WorkloadResult  11: 8 op, 582860200.00 ns, 72.8575 ms/op
WorkloadResult  12: 8 op, 594052000.00 ns, 74.2565 ms/op
WorkloadResult  13: 8 op, 575462300.00 ns, 71.9328 ms/op
WorkloadResult  14: 8 op, 589504300.00 ns, 73.6880 ms/op
WorkloadResult  15: 8 op, 587407400.00 ns, 73.4259 ms/op
GC:  31 17 3 241888168 8
Threading:  2 0 8

// AfterAll
// Benchmark Process 15860 has exited with code 0.

Mean = 72.545 ms, StdErr = 0.260 ms (0.36%), N = 15, StdDev = 1.009 ms
Min = 71.099 ms, Q1 = 71.867 ms, Median = 72.324 ms, Q3 = 73.142 ms, Max = 74.404 ms
IQR = 1.274 ms, LowerFence = 69.956 ms, UpperFence = 75.053 ms
ConfidenceInterval = [71.466 ms; 73.623 ms] (CI 99.9%), Margin = 1.078 ms (1.49% of Mean)
Skewness = 0.46, Kurtosis = 2, MValue = 2

// **************************
// Benchmark: Program.UseStringWriter: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "d3508ef7-a2f6-4436-8c61-c8915d40ac36.dll" --benchmarkName "StringWriterBench.Program.UseStringWriter" --job "Default" --benchmarkId 1 in C:\Users\David\Desktop\2022\2022-02-07 - StringWriter\vs\StringWriterBench\StringWriterBench\bin\Release\netcoreapp3.1\d3508ef7-a2f6-4436-8c61-c8915d40ac36\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.22 (CoreCLR 4.700.21.56803, CoreFX 4.700.21.57101), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 172400.00 ns, 172.4000 us/op
WorkloadJitting  1: 1 op, 71589300.00 ns, 71.5893 ms/op

WorkloadPilot    1: 2 op, 140573900.00 ns, 70.2870 ms/op
WorkloadPilot    2: 3 op, 207195600.00 ns, 69.0652 ms/op
WorkloadPilot    3: 4 op, 304208800.00 ns, 76.0522 ms/op
WorkloadPilot    4: 5 op, 360543800.00 ns, 72.1088 ms/op
WorkloadPilot    5: 6 op, 455964300.00 ns, 75.9941 ms/op
WorkloadPilot    6: 7 op, 535413900.00 ns, 76.4877 ms/op

WorkloadWarmup   1: 7 op, 535661800.00 ns, 76.5231 ms/op
WorkloadWarmup   2: 7 op, 542569500.00 ns, 77.5099 ms/op
WorkloadWarmup   3: 7 op, 543664700.00 ns, 77.6664 ms/op
WorkloadWarmup   4: 7 op, 551151100.00 ns, 78.7359 ms/op
WorkloadWarmup   5: 7 op, 542489600.00 ns, 77.4985 ms/op
WorkloadWarmup   6: 7 op, 553318100.00 ns, 79.0454 ms/op
WorkloadWarmup   7: 7 op, 555889700.00 ns, 79.4128 ms/op
WorkloadWarmup   8: 7 op, 553448800.00 ns, 79.0641 ms/op

// BeforeActualRun
WorkloadActual   1: 7 op, 552665000.00 ns, 78.9521 ms/op
WorkloadActual   2: 7 op, 551978000.00 ns, 78.8540 ms/op
WorkloadActual   3: 7 op, 551701600.00 ns, 78.8145 ms/op
WorkloadActual   4: 7 op, 556515200.00 ns, 79.5022 ms/op
WorkloadActual   5: 7 op, 550869600.00 ns, 78.6957 ms/op
WorkloadActual   6: 7 op, 541682100.00 ns, 77.3832 ms/op
WorkloadActual   7: 7 op, 541878800.00 ns, 77.4113 ms/op
WorkloadActual   8: 7 op, 525503300.00 ns, 75.0719 ms/op
WorkloadActual   9: 7 op, 538757600.00 ns, 76.9654 ms/op
WorkloadActual  10: 7 op, 553949000.00 ns, 79.1356 ms/op
WorkloadActual  11: 7 op, 556014300.00 ns, 79.4306 ms/op
WorkloadActual  12: 7 op, 543421500.00 ns, 77.6316 ms/op
WorkloadActual  13: 7 op, 566798700.00 ns, 80.9712 ms/op
WorkloadActual  14: 7 op, 549370000.00 ns, 78.4814 ms/op
WorkloadActual  15: 7 op, 549748800.00 ns, 78.5355 ms/op

// AfterActualRun
WorkloadResult   1: 7 op, 552665000.00 ns, 78.9521 ms/op
WorkloadResult   2: 7 op, 551978000.00 ns, 78.8540 ms/op
WorkloadResult   3: 7 op, 551701600.00 ns, 78.8145 ms/op
WorkloadResult   4: 7 op, 556515200.00 ns, 79.5022 ms/op
WorkloadResult   5: 7 op, 550869600.00 ns, 78.6957 ms/op
WorkloadResult   6: 7 op, 541682100.00 ns, 77.3832 ms/op
WorkloadResult   7: 7 op, 541878800.00 ns, 77.4113 ms/op
WorkloadResult   8: 7 op, 525503300.00 ns, 75.0719 ms/op
WorkloadResult   9: 7 op, 538757600.00 ns, 76.9654 ms/op
WorkloadResult  10: 7 op, 553949000.00 ns, 79.1356 ms/op
WorkloadResult  11: 7 op, 556014300.00 ns, 79.4306 ms/op
WorkloadResult  12: 7 op, 543421500.00 ns, 77.6316 ms/op
WorkloadResult  13: 7 op, 566798700.00 ns, 80.9712 ms/op
WorkloadResult  14: 7 op, 549370000.00 ns, 78.4814 ms/op
WorkloadResult  15: 7 op, 549748800.00 ns, 78.5355 ms/op
GC:  70 20 3 565631368 7
Threading:  2 0 7

// AfterAll
// Benchmark Process 14836 has exited with code 0.

Mean = 78.389 ms, StdErr = 0.352 ms (0.45%), N = 15, StdDev = 1.362 ms
Min = 75.072 ms, Q1 = 77.521 ms, Median = 78.696 ms, Q3 = 79.044 ms, Max = 80.971 ms
IQR = 1.522 ms, LowerFence = 75.238 ms, UpperFence = 81.327 ms
ConfidenceInterval = [76.933 ms; 79.845 ms] (CI 99.9%), Margin = 1.456 ms (1.86% of Mean)
Skewness = -0.56, Kurtosis = 3.4, MValue = 2

// **************************
// Benchmark: Program.UseMyStringWriter: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "d3508ef7-a2f6-4436-8c61-c8915d40ac36.dll" --benchmarkName "StringWriterBench.Program.UseMyStringWriter" --job "Default" --benchmarkId 2 in C:\Users\David\Desktop\2022\2022-02-07 - StringWriter\vs\StringWriterBench\StringWriterBench\bin\Release\netcoreapp3.1\d3508ef7-a2f6-4436-8c61-c8915d40ac36\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.22 (CoreCLR 4.700.21.56803, CoreFX 4.700.21.57101), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 174800.00 ns, 174.8000 us/op
WorkloadJitting  1: 1 op, 65390900.00 ns, 65.3909 ms/op

WorkloadPilot    1: 2 op, 130595300.00 ns, 65.2977 ms/op
WorkloadPilot    2: 3 op, 193990600.00 ns, 64.6635 ms/op
WorkloadPilot    3: 4 op, 271335300.00 ns, 67.8338 ms/op
WorkloadPilot    4: 5 op, 349717600.00 ns, 69.9435 ms/op
WorkloadPilot    5: 6 op, 429541800.00 ns, 71.5903 ms/op
WorkloadPilot    6: 7 op, 501207100.00 ns, 71.6010 ms/op

WorkloadWarmup   1: 7 op, 493512300.00 ns, 70.5018 ms/op
WorkloadWarmup   2: 7 op, 490602200.00 ns, 70.0860 ms/op
WorkloadWarmup   3: 7 op, 498504300.00 ns, 71.2149 ms/op
WorkloadWarmup   4: 7 op, 486376600.00 ns, 69.4824 ms/op
WorkloadWarmup   5: 7 op, 492226200.00 ns, 70.3180 ms/op
WorkloadWarmup   6: 7 op, 493992800.00 ns, 70.5704 ms/op
WorkloadWarmup   7: 7 op, 501771100.00 ns, 71.6816 ms/op
WorkloadWarmup   8: 7 op, 492430500.00 ns, 70.3472 ms/op

// BeforeActualRun
WorkloadActual   1: 7 op, 487834700.00 ns, 69.6907 ms/op
WorkloadActual   2: 7 op, 488989300.00 ns, 69.8556 ms/op
WorkloadActual   3: 7 op, 495787300.00 ns, 70.8268 ms/op
WorkloadActual   4: 7 op, 490803800.00 ns, 70.1148 ms/op
WorkloadActual   5: 7 op, 494032700.00 ns, 70.5761 ms/op
WorkloadActual   6: 7 op, 501657200.00 ns, 71.6653 ms/op
WorkloadActual   7: 7 op, 492223200.00 ns, 70.3176 ms/op
WorkloadActual   8: 7 op, 504039900.00 ns, 72.0057 ms/op
WorkloadActual   9: 7 op, 503215100.00 ns, 71.8879 ms/op
WorkloadActual  10: 7 op, 498433200.00 ns, 71.2047 ms/op
WorkloadActual  11: 7 op, 500656500.00 ns, 71.5224 ms/op
WorkloadActual  12: 7 op, 502294900.00 ns, 71.7564 ms/op
WorkloadActual  13: 7 op, 503851900.00 ns, 71.9788 ms/op
WorkloadActual  14: 7 op, 492329600.00 ns, 70.3328 ms/op
WorkloadActual  15: 7 op, 504906200.00 ns, 72.1295 ms/op

// AfterActualRun
WorkloadResult   1: 7 op, 487834700.00 ns, 69.6907 ms/op
WorkloadResult   2: 7 op, 488989300.00 ns, 69.8556 ms/op
WorkloadResult   3: 7 op, 495787300.00 ns, 70.8268 ms/op
WorkloadResult   4: 7 op, 490803800.00 ns, 70.1148 ms/op
WorkloadResult   5: 7 op, 494032700.00 ns, 70.5761 ms/op
WorkloadResult   6: 7 op, 501657200.00 ns, 71.6653 ms/op
WorkloadResult   7: 7 op, 492223200.00 ns, 70.3176 ms/op
WorkloadResult   8: 7 op, 504039900.00 ns, 72.0057 ms/op
WorkloadResult   9: 7 op, 503215100.00 ns, 71.8879 ms/op
WorkloadResult  10: 7 op, 498433200.00 ns, 71.2047 ms/op
WorkloadResult  11: 7 op, 500656500.00 ns, 71.5224 ms/op
WorkloadResult  12: 7 op, 502294900.00 ns, 71.7564 ms/op
WorkloadResult  13: 7 op, 503851900.00 ns, 71.9788 ms/op
WorkloadResult  14: 7 op, 492329600.00 ns, 70.3328 ms/op
WorkloadResult  15: 7 op, 504906200.00 ns, 72.1295 ms/op
GC:  27 14 2 211650760 7
Threading:  2 0 7

// AfterAll
// Benchmark Process 18796 has exited with code 0.

Mean = 71.058 ms, StdErr = 0.221 ms (0.31%), N = 15, StdDev = 0.855 ms
Min = 69.691 ms, Q1 = 70.325 ms, Median = 71.205 ms, Q3 = 71.822 ms, Max = 72.129 ms
IQR = 1.497 ms, LowerFence = 68.080 ms, UpperFence = 74.068 ms
ConfidenceInterval = [70.143 ms; 71.972 ms] (CI 99.9%), Margin = 0.914 ms (1.29% of Mean)
Skewness = -0.21, Kurtosis = 1.34, MValue = 2

// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts\results\StringWriterBench.Program-report.csv
  BenchmarkDotNet.Artifacts\results\StringWriterBench.Program-report-github.md
  BenchmarkDotNet.Artifacts\results\StringWriterBench.Program-report.html

// * Detailed results *
Program.UseStringBuilder: DefaultJob
Runtime = .NET Core 3.1.22 (CoreCLR 4.700.21.56803, CoreFX 4.700.21.57101), X64 RyuJIT; GC = Concurrent Workstation
Mean = 72.545 ms, StdErr = 0.260 ms (0.36%), N = 15, StdDev = 1.009 ms
Min = 71.099 ms, Q1 = 71.867 ms, Median = 72.324 ms, Q3 = 73.142 ms, Max = 74.404 ms
IQR = 1.274 ms, LowerFence = 69.956 ms, UpperFence = 75.053 ms
ConfidenceInterval = [71.466 ms; 73.623 ms] (CI 99.9%), Margin = 1.078 ms (1.49% of Mean)
Skewness = 0.46, Kurtosis = 2, MValue = 2
-------------------- Histogram --------------------
[70.562 ms ; 72.857 ms) | @@@@@@@@@@
[72.857 ms ; 74.654 ms) | @@@@@
---------------------------------------------------

Program.UseStringWriter: DefaultJob
Runtime = .NET Core 3.1.22 (CoreCLR 4.700.21.56803, CoreFX 4.700.21.57101), X64 RyuJIT; GC = Concurrent Workstation
Mean = 78.389 ms, StdErr = 0.352 ms (0.45%), N = 15, StdDev = 1.362 ms
Min = 75.072 ms, Q1 = 77.521 ms, Median = 78.696 ms, Q3 = 79.044 ms, Max = 80.971 ms
IQR = 1.522 ms, LowerFence = 75.238 ms, UpperFence = 81.327 ms
ConfidenceInterval = [76.933 ms; 79.845 ms] (CI 99.9%), Margin = 1.456 ms (1.86% of Mean)
Skewness = -0.56, Kurtosis = 3.4, MValue = 2
-------------------- Histogram --------------------
[74.347 ms ; 76.526 ms) | @
[76.526 ms ; 78.202 ms) | @@@@
[78.202 ms ; 81.696 ms) | @@@@@@@@@@
---------------------------------------------------

Program.UseMyStringWriter: DefaultJob
Runtime = .NET Core 3.1.22 (CoreCLR 4.700.21.56803, CoreFX 4.700.21.57101), X64 RyuJIT; GC = Concurrent Workstation
Mean = 71.058 ms, StdErr = 0.221 ms (0.31%), N = 15, StdDev = 0.855 ms
Min = 69.691 ms, Q1 = 70.325 ms, Median = 71.205 ms, Q3 = 71.822 ms, Max = 72.129 ms
IQR = 1.497 ms, LowerFence = 68.080 ms, UpperFence = 74.068 ms
ConfidenceInterval = [70.143 ms; 71.972 ms] (CI 99.9%), Margin = 0.914 ms (1.29% of Mean)
Skewness = -0.21, Kurtosis = 1.34, MValue = 2
-------------------- Histogram --------------------
[69.432 ms ; 71.108 ms) | @@@@@@@
[71.108 ms ; 72.585 ms) | @@@@@@@@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.13.1, OS=Windows 10.0.19042.1466 (20H2/October2020Update)
Intel Core i7-10700K CPU 3.80GHz, 1 CPU, 16 logical and 8 physical cores
.NET SDK=6.0.101
  [Host]     : .NET Core 3.1.22 (CoreCLR 4.700.21.56803, CoreFX 4.700.21.57101), X64 RyuJIT
  DefaultJob : .NET Core 3.1.22 (CoreCLR 4.700.21.56803, CoreFX 4.700.21.57101), X64 RyuJIT


|            Method |     Mean |    Error |   StdDev |      Gen 0 |     Gen 1 |    Gen 2 | Allocated |
|------------------ |---------:|---------:|---------:|-----------:|----------:|---------:|----------:|
|  UseStringBuilder | 72.54 ms | 1.078 ms | 1.009 ms |  3875.0000 | 2125.0000 | 375.0000 |     29 MB |
|   UseStringWriter | 78.39 ms | 1.456 ms | 1.362 ms | 10000.0000 | 2857.1429 | 428.5714 |     77 MB |
| UseMyStringWriter | 71.06 ms | 0.914 ms | 0.855 ms |  3857.1429 | 2000.0000 | 285.7143 |     29 MB |

// * Hints *
Outliers
  Program.UseStringWriter: Default -> 1 outlier  was  detected (75.07 ms)

// * Legends *
  Mean      : Arithmetic mean of all measurements
  Error     : Half of 99.9% confidence interval
  StdDev    : Standard deviation of all measurements
  Gen 0     : GC Generation 0 collects per 1000 operations
  Gen 1     : GC Generation 1 collects per 1000 operations
  Gen 2     : GC Generation 2 collects per 1000 operations
  Allocated : Allocated memory per single operation (managed only, inclusive, 1KB = 1024B)
  1 ms      : 1 Millisecond (0.001 sec)

// * Diagnostic Output - MemoryDiagnoser *


// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:53 (53.79 sec), executed benchmarks: 3

Global total time: 00:00:56 (56.42 sec), executed benchmarks: 3
// * Artifacts cleanup *
